Shipment batch,ID#,,Date,Site Name,,,Nitrate+NO2 (umol/L),Ammonium (umol/L),DRP (umol/L),Silicate (umol/L),TP (umol/L),TKN (umol/L),TN (umol/L),TN:TP (molar),Notes,,Diss Nuts Run,TNTP Run,,DRP/TP,DIN/TN
One. Sept 2025,Jun03_BG_Muddy Creek ,,6/3/2025,Muddy Creek,,,520.25,1.198,0.137,115.295,5.0175,104.260,624.510,124.466,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.02730443448,0.8349714176
One. Sept 2025,Jun03_BG_ODNR 4 ,,6/3/2025,ODNR 4,,,408.83,1.301,0.202,43.831,4.335,90.615,499.445,115.212,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.04659746251,0.8211735026
One. Sept 2025,Jun03_BG_ODNR 6 ,,6/3/2025,ODNR 6,,,332.51,1.624,0.03,47.961,2.899,81.795,414.305,142.913,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.010348396,0.8064928012
One. Sept 2025,Jun03_BG_Bridge ,,6/3/2025,Bridge ,,,231.83,1.037,0.013,11.066,2.7955,63.254,295.084,105.557,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.004650330889,0.7891549525
One. Sept 2025,Jun03_BG_ODNR 2 ,,6/3/2025,ODNR 2,,,191.21,2.083,0.038,12.881,2.115,62.394,253.604,119.907,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.01796690307,0.7621843504
One. Sept 2025,Jun03_BG_Buoy 2 ,,6/3/2025,Buoy 2 ,,,174.55,0.168,0.072,5.4,1.9105,53.586,228.1355,119.411,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.03768646951,0.7658518731
One. Sept 2025,Jun03_BG_ODNR 1 ,,6/3/2025,ODNR 1 ,,,159.9,1.548,0.065,15.033,1.7005,47.772,207.672,122.124,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.03822405175,0.7774182364
One. Sept 2025,Jun03_BG_EC 1163 ,,6/3/2025,EC 1163 ,,,113.59,1.499,0.137,18.86,1.9145,47.387,160.977,84.083,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.07155915383,0.7149406437
One. Sept 2025,Jun03_BG_Causeway ,,6/3/2025,Causeway ,,,97.825,2.041,0.054,18.783,1.549,48.369,146.1935,94.379,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.03486120077,0.6831083461
One. Sept 2025,Jun03_BG_Bells,,6/3/2025,Bells,,,105.812,1.617,0.162,46.098,1.417,31.502,137.314,96.905,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.1143260409,0.7823601381
One. Sept 2025,Jun10_BG_Muddy Creek ,,6/10/2025,Muddy Creek,,,37.801,6.838,0.173,34.318,4.9025,422.544,460.345,93.900,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.03528811831,0.09696857791
One. Sept 2025,Jun10_BG_ODNR 4 ,,6/10/2025,ODNR 4,,,22.701,7.961,0.376,13.883,3.5575,273.673,296.3735,83.309,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.1056921996,0.1034572929
One. Sept 2025,Jun10_BG_ODNR 6 ,,6/10/2025,ODNR 6,,,20.808,5.842,0.103,6.844,2.976,256.362,277.1695,93.135,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.03461021505,0.09615055048
One. Sept 2025,Jun10_BG_Bridge ,,6/10/2025,Bridge ,,,253.3,4.21,0.197,6.551,3.643,57.549,310.8485,85.328,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.05407631073,0.8284099811
One. Sept 2025,Jun10_BG_ODNR 2 ,,6/10/2025,ODNR 2,,,14.216,4.084,0.264,15.486,1.818,179.997,194.213,106.828,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.1452145215,0.0942264421
One. Sept 2025,Jun10_BG_Buoy 2 ,,6/10/2025,Buoy 2 ,,,138.84,3.31,0.21,28.729,1.8775,62.335,201.175,107.150,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.1118508655,0.7065987324
One. Sept 2025,Jun10_BG_ODNR 1 ,,6/10/2025,ODNR 1 ,,,12.648,5.506,0.151,26.895,1.8145,162.722,175.37,96.649,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.0832185175,0.1035182756
One. Sept 2025,Jun10_BG_EC 1163 ,,6/10/2025,EC 1163 ,,,15.368,4.344,0.166,26.192,2.488,196.488,211.856,85.151,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.06672025723,0.093044332
One. Sept 2025,Jun10_BG_Causeway ,,6/10/2025,Causeway ,,,74.601,0.675,0.035,53.488,2.0085,47.927,122.5275,61.004,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.01742593976,0.6143600416
One. Sept 2025,Jun10_BG_Bells,,6/10/2025,Bells,,,,,,,,,,,Sample missing,,Dec 2 BGSU Run 1R1R1.RUN,,,,
One. Sept 2025,Jun17_BG_Muddy Creek ,,6/17/2025,Muddy Creek,,,362.76,2.608,0.69,76.186,5.8825,78.745,441.505,75.054,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.1172970676,0.8275512169
One. Sept 2025,Jun17_BG_ODNR 4 ,,6/17/2025,ODNR 4,,,165.26,2.466,0.486,31.184,3.145,61.965,227.225,72.250,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.1545310016,0.7381494114
One. Sept 2025,Jun17_BG_ODNR 6 ,,6/17/2025,ODNR 6,,,250.47,4.314,0.307,16.304,2.9155,65.013,315.4825,108.209,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.1052992626,0.8076010555
One. Sept 2025,Jun17_BG_Bridge ,,6/17/2025,Bridge ,,,176.83,2.148,0.286,31.165,2.5595,57.439,234.269,91.529,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.1117405743,0.7639849916
One. Sept 2025,Jun17_BG_ODNR 2 ,,6/17/2025,ODNR 2,,,152.93,3.258,0.452,33.673,1.9135,48.154,201.0835,105.087,,,Dec 2 BGSU Run 1R1R1.RUN,TNTP BGSU Run 1 June 3 June 17.RUN,,0.2362163575,0.7767320541
