site,date_time,discharge,notes
4198000,1/5/2018 4:00,,cubic feet per second
4198000,1/5/2018 4:30,,cubic feet per second
4198000,1/5/2018 5:00,,cubic feet per second
4198000,1/5/2018 5:30,,cubic feet per second
4198000,1/5/2018 6:00,,cubic feet per second
4198000,1/5/2018 6:30,,cubic feet per second
4198000,1/5/2018 7:00,,cubic feet per second
4198000,1/5/2018 7:30,,cubic feet per second
4198000,1/5/2018 8:00,,cubic feet per second
4198000,1/5/2018 8:30,,cubic feet per second
4198000,1/5/2018 9:00,,cubic feet per second
4198000,1/5/2018 9:30,,cubic feet per second
4198000,1/5/2018 10:00,,cubic feet per second
4198000,1/5/2018 10:30,,cubic feet per second
4198000,1/5/2018 11:00,,cubic feet per second
4198000,1/5/2018 11:30,,cubic feet per second
4198000,1/5/2018 12:00,380,cubic feet per second
4198000,1/5/2018 12:30,,cubic feet per second
4198000,1/5/2018 13:00,,cubic feet per second
4198000,1/5/2018 13:30,,cubic feet per second
4198000,1/5/2018 14:00,,cubic feet per second
4198000,1/5/2018 14:30,,cubic feet per second
4198000,1/5/2018 15:00,,cubic feet per second
4198000,1/5/2018 15:30,,cubic feet per second
4198000,1/5/2018 16:00,,cubic feet per second
4198000,1/5/2018 16:30,,cubic feet per second
4198000,1/5/2018 17:00,,cubic feet per second
4198000,1/5/2018 17:30,,cubic feet per second
4198000,1/5/2018 18:00,,cubic feet per second
4198000,1/5/2018 18:30,,cubic feet per second
4198000,1/5/2018 19:00,,cubic feet per second
4198000,1/5/2018 19:30,,cubic feet per second
4198000,1/5/2018 20:00,,cubic feet per second
4198000,1/5/2018 20:30,,cubic feet per second
4198000,1/5/2018 21:00,,cubic feet per second
4198000,1/5/2018 21:30,,cubic feet per second
4198000,1/5/2018 22:00,,cubic feet per second
4198000,1/5/2018 22:30,,cubic feet per second
4198000,1/5/2018 23:00,,cubic feet per second
4198000,1/5/2018 23:30,,cubic feet per second
4198000,1/6/2018 0:00,393,cubic feet per second
4198000,1/6/2018 0:30,,cubic feet per second
4198000,1/6/2018 1:00,,cubic feet per second
4198000,1/6/2018 1:30,,cubic feet per second
4198000,1/6/2018 2:00,,cubic feet per second
4198000,1/6/2018 2:30,,cubic feet per second
4198000,1/6/2018 3:00,,cubic feet per second
4198000,1/6/2018 3:30,,cubic feet per second
4198000,1/6/2018 4:00,,cubic feet per second
4198000,1/6/2018 4:30,,cubic feet per second
4198000,1/6/2018 5:00,,cubic feet per second
4198000,1/6/2018 5:30,,cubic feet per second
4198000,1/6/2018 6:00,,cubic feet per second
4198000,1/6/2018 6:30,,cubic feet per second
4198000,1/6/2018 7:00,,cubic feet per second
4198000,1/6/2018 7:30,,cubic feet per second
4198000,1/6/2018 8:00,,cubic feet per second
4198000,1/6/2018 8:30,,cubic feet per second
4198000,1/6/2018 9:00,,cubic feet per second
4198000,1/6/2018 9:30,,cubic feet per second
4198000,1/6/2018 10:00,,cubic feet per second
4198000,1/6/2018 10:30,,cubic feet per second
4198000,1/6/2018 11:00,,cubic feet per second
4198000,1/6/2018 11:30,,cubic feet per second
4198000,1/6/2018 12:00,407,cubic feet per second
4198000,1/6/2018 12:30,,cubic feet per second
4198000,1/6/2018 13:00,,cubic feet per second
4198000,1/6/2018 13:30,,cubic feet per second
4198000,1/6/2018 14:00,,cubic feet per second
4198000,1/6/2018 14:30,,cubic feet per second
4198000,1/6/2018 15:00,,cubic feet per second
4198000,1/6/2018 15:30,,cubic feet per second
4198000,1/6/2018 16:00,,cubic feet per second
4198000,1/6/2018 16:30,,cubic feet per second
4198000,1/6/2018 17:00,,cubic feet per second
4198000,1/6/2018 17:30,,cubic feet per second
4198000,1/6/2018 18:00,,cubic feet per second
4198000,1/6/2018 18:30,,cubic feet per second
4198000,1/6/2018 19:00,,cubic feet per second
4198000,1/6/2018 19:30,,cubic feet per second
4198000,1/6/2018 20:00,,cubic feet per second
4198000,1/6/2018 20:30,,cubic feet per second
4198000,1/6/2018 21:00,,cubic feet per second
4198000,1/6/2018 21:30,,cubic feet per second
4198000,1/6/2018 22:00,,cubic feet per second
4198000,1/6/2018 22:30,,cubic feet per second
4198000,1/6/2018 23:00,,cubic feet per second
4198000,1/6/2018 23:30,,cubic feet per second
4198000,1/7/2018 0:00,421,cubic feet per second
4198000,1/7/2018 0:30,,cubic feet per second
4198000,1/7/2018 1:00,,cubic feet per second
4198000,1/7/2018 1:30,,cubic feet per second
4198000,1/7/2018 2:00,,cubic feet per second
4198000,1/7/2018 2:30,,cubic feet per second
4198000,1/7/2018 3:00,,cubic feet per second
4198000,1/7/2018 3:30,,cubic feet per second
4198000,1/7/2018 4:00,,cubic feet per second
4198000,1/7/2018 4:30,,cubic feet per second
4198000,1/7/2018 5:00,,cubic feet per second
4198000,1/7/2018 5:30,,cubic feet per second
4198000,1/7/2018 6:00,,cubic feet per second
4198000,1/7/2018 6:30,,cubic feet per second
4198000,1/7/2018 7:00,,cubic feet per second
4198000,1/7/2018 7:30,,cubic feet per second
4198000,1/7/2018 8:00,,cubic feet per second
4198000,1/7/2018 8:30,,cubic feet per second
4198000,1/7/2018 9:00,,cubic feet per second
4198000,1/7/2018 9:30,,cubic feet per second
4198000,1/7/2018 10:00,,cubic feet per second
4198000,1/7/2018 10:30,,cubic feet per second
4198000,1/7/2018 11:00,,cubic feet per second
4198000,1/7/2018 11:30,,cubic feet per second
4198000,1/7/2018 12:00,414,cubic feet per second
4198000,1/7/2018 12:30,,cubic feet per second
4198000,1/7/2018 13:00,,cubic feet per second
4198000,1/7/2018 13:30,,cubic feet per second
4198000,1/7/2018 14:00,,cubic feet per second
4198000,1/7/2018 14:30,,cubic feet per second
4198000,1/7/2018 15:00,,cubic feet per second
4198000,1/7/2018 15:30,,cubic feet per second
4198000,1/7/2018 16:00,,cubic feet per second
4198000,1/7/2018 16:30,,cubic feet per second
4198000,1/7/2018 17:00,,cubic feet per second
4198000,1/7/2018 17:30,,cubic feet per second
4198000,1/7/2018 18:00,,cubic feet per second
4198000,1/7/2018 18:30,,cubic feet per second
4198000,1/7/2018 19:00,,cubic feet per second
4198000,1/7/2018 19:30,,cubic feet per second
4198000,1/7/2018 20:00,,cubic feet per second
4198000,1/7/2018 20:30,,cubic feet per second
4198000,1/7/2018 21:00,,cubic feet per second
4198000,1/7/2018 21:30,,cubic feet per second
4198000,1/7/2018 22:00,,cubic feet per second
4198000,1/7/2018 22:30,,cubic feet per second
4198000,1/7/2018 23:00,,cubic feet per second
4198000,1/7/2018 23:30,,cubic feet per second
4198000,1/8/2018 0:00,371,cubic feet per second
4198000,1/8/2018 0:30,,cubic feet per second
4198000,1/8/2018 1:00,,cubic feet per second
4198000,1/8/2018 1:30,,cubic feet per second
4198000,1/8/2018 2:00,,cubic feet per second
4198000,1/8/2018 2:30,,cubic feet per second
4198000,1/8/2018 3:00,,cubic feet per second
4198000,1/8/2018 3:30,,cubic feet per second
4198000,1/8/2018 4:00,,cubic feet per second
4198000,1/8/2018 4:30,,cubic feet per second
4198000,1/8/2018 5:00,,cubic feet per second
4198000,1/8/2018 5:30,,cubic feet per second
4198000,1/8/2018 6:00,,cubic feet per second
4198000,1/8/2018 6:30,,cubic feet per second
4198000,1/8/2018 7:00,,cubic feet per second
4198000,1/8/2018 7:30,,cubic feet per second
4198000,1/8/2018 8:00,,cubic feet per second
4198000,1/8/2018 8:30,,cubic feet per second
4198000,1/8/2018 9:00,,cubic feet per second
4198000,1/8/2018 9:30,,cubic feet per second
4198000,1/8/2018 10:00,,cubic feet per second
4198000,1/8/2018 10:30,,cubic feet per second
4198000,1/8/2018 11:00,,cubic feet per second
4198000,1/8/2018 11:30,,cubic feet per second
4198000,1/8/2018 12:00,321,cubic feet per second
4198000,1/8/2018 12:30,,cubic feet per second
4198000,1/8/2018 13:00,,cubic feet per second
4198000,1/8/2018 13:30,,cubic feet per second
4198000,1/8/2018 14:00,,cubic feet per second
4198000,1/8/2018 14:30,,cubic feet per second
4198000,1/8/2018 15:00,,cubic feet per second
4198000,1/8/2018 15:30,,cubic feet per second
4198000,1/8/2018 16:00,,cubic feet per second
4198000,1/8/2018 16:30,,cubic feet per second
4198000,1/8/2018 17:00,,cubic feet per second
4198000,1/8/2018 17:30,,cubic feet per second
4198000,1/8/2018 18:00,,cubic feet per second
4198000,1/8/2018 18:30,,cubic feet per second
4198000,1/8/2018 19:00,,cubic feet per second
4198000,1/8/2018 19:30,,cubic feet per second
4198000,1/8/2018 20:00,,cubic feet per second
4198000,1/8/2018 20:30,,cubic feet per second
4198000,1/8/2018 21:00,,cubic feet per second
4198000,1/8/2018 21:30,,cubic feet per second
4198000,1/8/2018 22:00,,cubic feet per second
4198000,1/8/2018 22:30,,cubic feet per second
4198000,1/8/2018 23:00,,cubic feet per second
4198000,1/8/2018 23:30,,cubic feet per second
4198000,1/9/2018 0:00,305,cubic feet per second
4198000,1/9/2018 0:30,,cubic feet per second
4198000,1/9/2018 1:00,,cubic feet per second
4198000,1/9/2018 1:30,,cubic feet per second
4198000,1/9/2018 2:00,,cubic feet per second
4198000,1/9/2018 2:30,,cubic feet per second
4198000,1/9/2018 3:00,,cubic feet per second
4198000,1/9/2018 3:30,,cubic feet per second
4198000,1/9/2018 4:00,,cubic feet per second
4198000,1/9/2018 4:30,,cubic feet per second
4198000,1/9/2018 5:00,,cubic feet per second
4198000,1/9/2018 5:30,,cubic feet per second
4198000,1/9/2018 6:00,,cubic feet per second
4198000,1/9/2018 6:30,,cubic feet per second
4198000,1/9/2018 7:00,,cubic feet per second
4198000,1/9/2018 7:30,,cubic feet per second
4198000,1/9/2018 8:00,,cubic feet per second
4198000,1/9/2018 8:30,,cubic feet per second
4198000,1/9/2018 9:00,,cubic feet per second
4198000,1/9/2018 9:30,,cubic feet per second
4198000,1/9/2018 10:00,,cubic feet per second
4198000,1/9/2018 10:30,,cubic feet per second
4198000,1/9/2018 11:00,,cubic feet per second
4198000,1/9/2018 11:30,,cubic feet per second
4198000,1/9/2018 12:00,321,cubic feet per second
4198000,1/9/2018 12:30,,cubic feet per second
4198000,1/9/2018 13:00,,cubic feet per second
4198000,1/9/2018 13:30,,cubic feet per second
4198000,1/9/2018 14:00,,cubic feet per second
4198000,1/9/2018 14:30,,cubic feet per second
4198000,1/9/2018 15:00,,cubic feet per second
4198000,1/9/2018 15:30,,cubic feet per second
4198000,1/9/2018 16:00,,cubic feet per second
4198000,1/9/2018 16:30,,cubic feet per second
4198000,1/9/2018 17:00,,cubic feet per second
4198000,1/9/2018 17:30,,cubic feet per second
4198000,1/9/2018 18:00,,cubic feet per second
4198000,1/9/2018 18:30,,cubic feet per second
4198000,1/9/2018 19:00,,cubic feet per second
4198000,1/9/2018 19:30,,cubic feet per second
4198000,1/9/2018 20:00,,cubic feet per second
4198000,1/9/2018 20:30,,cubic feet per second
4198000,1/9/2018 21:00,,cubic feet per second
4198000,1/9/2018 21:30,,cubic feet per second
4198000,1/9/2018 22:00,,cubic feet per second
4198000,1/9/2018 22:30,,cubic feet per second
4198000,1/9/2018 23:00,,cubic feet per second
4198000,1/9/2018 23:30,,cubic feet per second
4198000,1/10/2018 0:00,355,cubic feet per second
4198000,1/10/2018 0:30,,cubic feet per second
4198000,1/10/2018 1:00,,cubic feet per second
4198000,1/10/2018 1:30,,cubic feet per second
4198000,1/10/2018 2:00,,cubic feet per second
4198000,1/10/2018 2:30,,cubic feet per second
4198000,1/10/2018 3:00,,cubic feet per second
4198000,1/10/2018 3:30,,cubic feet per second
4198000,1/10/2018 4:00,,cubic feet per second
4198000,1/10/2018 4:30,,cubic feet per second
4198000,1/10/2018 5:00,,cubic feet per second
4198000,1/10/2018 5:30,,cubic feet per second
4198000,1/10/2018 6:00,,cubic feet per second
4198000,1/10/2018 6:30,,cubic feet per second
4198000,1/10/2018 7:00,,cubic feet per second
4198000,1/10/2018 7:30,,cubic feet per second
4198000,1/10/2018 8:00,,cubic feet per second
4198000,1/10/2018 8:30,,cubic feet per second
4198000,1/10/2018 9:00,,cubic feet per second
4198000,1/10/2018 9:30,,cubic feet per second
4198000,1/10/2018 10:00,,cubic feet per second
4198000,1/10/2018 10:30,,cubic feet per second
4198000,1/10/2018 11:00,,cubic feet per second
4198000,1/10/2018 11:30,,cubic feet per second
4198000,1/10/2018 12:00,364,cubic feet per second
4198000,1/10/2018 12:30,,cubic feet per second
4198000,1/10/2018 13:00,,cubic feet per second
4198000,1/10/2018 13:30,,cubic feet per second
4198000,1/10/2018 14:00,,cubic feet per second
4198000,1/10/2018 14:30,,cubic feet per second
4198000,1/10/2018 15:00,,cubic feet per second
4198000,1/10/2018 15:30,,cubic feet per second
4198000,1/10/2018 16:00,,cubic feet per second
4198000,1/10/2018 16:30,,cubic feet per second
4198000,1/10/2018 17:00,,cubic feet per second
4198000,1/10/2018 17:30,,cubic feet per second
